CODI,Castellà,Català,Tipus de contracte
03117100-5,"Plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos","Plantes utilitzades en perfumeria o en farmàcia, o en l'elaboració d'insecticides o en usos similars",Subministraments
03117110-8,Plantas utilizadas en perfumería,Plantes utilitzades en perfumeria,Subministraments
03117120-1,Plantas utilizadas en farmacia,Plantes utilitzades en farmàcia,Subministraments
03117130-4,Plantas utilizadas en la elaboración de insecticidas,Plantes utilitzades en l'elaboració d'insecticides,Subministraments
03117140-7,Plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos,Plantes utilitzades en l'elaboració de fungicides o en usos similars,Subministraments
03117200-6,Semillas de plantas utilizadas para usos específicos,Llavors de plantes utilitzades per a usos específics,Subministraments
03120000-8,Productos de horticultura y viveros,Productes d'horticultura i de vivers,Subministraments
03121000-5,Productos de horticultura,Productes d'horticultura,Subministraments
03121100-6,"Plantas vivas, bulbos, raíces y esquejes","Plantes vives, bulbs, arrels, esqueixos i empelts",Subministraments
03121200-7,Flores cortadas,Flors tallades,Subministraments
03121210-0,Arreglos florales,Arranjaments florals,Subministraments
03130000-1,Cultivos de especias y de plantas para bebidas,Cultius de plantes per a begudes i espècies,Subministraments
03131000-8,Cultivos de plantas para bebidas,Cultius de plantes per a begudes,Subministraments
03131100-9,Café en grano,Grans de cafè,Subministraments
03131200-0,Plantas de té,Plantes de te,Subministraments
03131300-1,Mate,Mate,Subministraments
03131400-2,Cacao en grano,Grans de cacau,Subministraments
03132000-5,Especias no manufacturadas,Espècies no processades,Subministraments
03140000-4,Productos de origen animal y productos afines,Productes d'origen animal i productes afins,Subministraments
03141000-1,Semen de toro,Semen de bou,Subministraments
03142000-8,Productos de origen animal,Productes d'origen animal,Subministraments
03142100-9,Miel natural,Mel natural,Subministraments
03142200-0,Caracoles,Cargols,Subministraments
03142300-1,Productos comestibles de origen animal,Productes comestibles d'origen animal,Subministraments
03142400-2,Ceras,Ceres,Subministraments
03142500-3,Huevos,Ous,Subministraments
03143000-5,Productos de cultivo mixto,Productes de cultiu mixt,Subministraments
03144000-2,Productos para la agricultura,Productes per a l'agricultura,Subministraments
03200000-3,"Cereales, patatas, hortalizas, frutas y frutos de cáscara","Cereals, patates, hortalisses, fruites i fruites de closca",Subministraments
03210000-6,Cereales y patatas,Cereals i patates,Subministraments
03211000-3,Cereales,Cereals,Subministraments
03211100-4,Trigo,Blat,Subministraments
03211110-7,Trigo duro,Blat dur,Subministraments
03211120-0,Trigo blando,Blat tou,Subministraments
03211200-5,Maíz,Blat de moro,Subministraments
03211300-6,Arroz,Arròs,Subministraments
03211400-7,Cebada,Ordi,Subministraments
03211500-8,Centeno,Sègol,Subministraments
03211600-9,Avena,Civada,Subministraments
03211700-0,Malta,Malta,Subministraments
03211900-2,Productos de granos,Productes de grans,Subministraments
03212000-0,Patatas y legumbres secas,Patates i llegums secs,Subministraments
03212100-1,Patatas,Patates,Subministraments
03212200-2,Legumbres y hortalizas leguminosas secas,Llegums i hortalisses lleguminoses secs,Subministraments
03212210-5,Leguminosas secas,Hortalisses lleguminoses seques,Subministraments
03212211-2,Lentejas,Llenties,Subministraments
03212212-9,Garbanzos,Cigrons,Subministraments
03212213-6,Guisantes secos,Pèsols secs,Subministraments
03212220-8,Legumbres,Llegums,Subministraments
03220000-9,"Hortalizas, frutas y frutos de cáscara","Hortalisses, fruites i fruits de closca",Subministraments
03221000-6,Hortalizas,Hortalisses,Subministraments
03221100-7,Hortalizas de raíz y tubérculo,Hortalisses d'arrel i tubercles,Subministraments
03221110-0,Hortalizas de raíz,Hortalisses d'arrel,Subministraments
03221111-7,Remolachas,Remolatxes,Subministraments
03221112-4,Zanahorias,Pastanagues,Subministraments
03221113-1,Cebollas,Cebes,Subministraments
03221114-8,Nabos,Naps,Subministraments
03221120-3,Hortalizas de tubérculo,Hortalisses de tubercle,Subministraments
03221200-8,Frutos hortícolas,Fruits hortícoles,Subministraments
03221210-1,Judías,Mongetes,Subministraments
03221211-8,Habas,Faves,Subministraments
03221212-5,Judías verdes,Mongetes tendres,Subministraments
03221213-2,Judías pintas,Mongetes vermelles,Subministraments
03221220-4,Guisantes,Pèsols,Subministraments
03221221-1,Guisantes de huerta,Pèsols d'horta,Subministraments
03221222-8,Guisantes mollares,Estirabecs,Subministraments
03221230-7,Pimientos,Pebrots,Subministraments
03221240-0,Tomates,Tomàquets,Subministraments
03221250-3,Calabacines,Carbassons,Subministraments
03221260-6,Champiñones,Bolets,Subministraments
03221270-9,Pepinos,Cogombres,Subministraments
03221300-9,Hortalizas de hoja,Hortalisses de fulla,Subministraments
03221310-2,Lechuga,Enciams,Subministraments
03221320-5,Hojas para ensalada,Fulles per a amanida,Subministraments
03221330-8,Alcachofas,Carxofes,Subministraments
03221340-1,Espinacas,Espinacs,Subministraments
03221400-0,Coles,Cols,Subministraments
03221410-3,Repollos,Cols de cabdell,Subministraments
03221420-6,Coliflores,Coliflors,Subministraments
03221430-9,Brécoles,Bròquils,Subministraments
03221440-2,Coles de Bruselas,Cols de Brussel·les,Subministraments
03222000-3,Frutas y frutos de cáscara,Fruites i fruits de closca,Subministraments
03222100-4,Frutas y frutos de cáscara tropicales,Fruites i fruits de closca tropicals,Subministraments
03222110-7,Frutas tropicales,Fruites tropicals,Subministraments
03222111-4,Plátanos,Plàtans,Subministraments
03222112-1,Piñas,Pinyes,Subministraments
03222113-8,Mangos,Mangos,Subministraments
03222114-5,Dátiles,Dàtils,Subministraments
03222115-2,Pasas,Panses,Subministraments
03222116-9,Higos,Figues,Subministraments
03222117-6,Aguacates,Alvocats,Subministraments
03222118-3,Kiwis,Kiwis,Subministraments
03222120-0,Cocos,Cocos,Subministraments
03222200-5,Cítricos,Cítrics,Subministraments
03222210-8,Limones,Llimones,Subministraments
03222220-1,Naranjas,Taronges,Subministraments
03222230-4,Pomelos,Pomelo,Subministraments
03222240-7,Naranjas tangerinas,Mandarines,Subministraments
03222250-0,Limas,Llimes,Subministraments
03222300-6,Frutas no tropicales,Fruites no tropicals,Subministraments
03222310-9,Bayas,Baies,Subministraments
03222311-6,Pasas de Corinto,Panses de Corint,Subministraments
03222312-3,Grosellas silvestres,Groselles silvestres,Subministraments
03222313-0,Fresas,Maduixes,Subministraments
03222314-7,Frambuesas,Gerds,Subministraments
03222315-4,Arándanos,Nabius,Subministraments
03222320-2,"Manzanas, peras y membrillos","Pomes, peres i codonys",Subministraments
03222321-9,Manzanas,Pomes,Subministraments
03222322-6,Peras,Peres,Subministraments
03222323-3,Membrillos,Codonys,Subministraments
03222330-5,Frutas de hueso,Fruites de pinyol,Subministraments
03222331-2,Albaricoques,Albercocs,Subministraments
03222332-9,Melocotones,Préssecs,Subministraments
03222333-6,Cerezas,Cireres,Subministraments
03222334-3,Ciruelas,Prunes,Subministraments
03222340-8,Uvas,Raïm,Subministraments
03222341-5,Uvas de mesa,Raïm de taula,Subministraments
03222342-2,Uvas de vino,Raïm de vi,Subministraments
03222400-7,Aceitunas,Olives,Subministraments
03300000-2,"Productos de la ganadería, la caza y la pesca","Productes de la ramaderia, la caça i la pesca",Subministraments
03310000-5,"Pescado, crustáceos y productos acuáticos","Peixos, crustacis i productes aquàtics",Subministraments
03311000-2,Pescado,"Peixos, crustacis i productes aquàtics",Subministraments
03311100-3,Pescado plano,Peixos plans,Subministraments
03311110-6,Lenguado,Llenguado,Subministraments
03311120-9,Solla,Palaia,Subministraments
03311200-4,Pescados de la familia del bacalao,Peixos de la família del bacallà,Subministraments
03311210-7,Bacalao,Bacallà,Subministraments
03311220-0,Abadejo,Abadejo,Subministraments
03311230-3,Merluza,Lluç,Subministraments
03311240-6,Eglefino,Eglefí,Subministraments
03311300-5,Arenque,Arengada,Subministraments
03311400-6,Atún,Tonyina,Subministraments
03311500-7,Merlán,Merlà,Subministraments
03311600-8,Morralla,Xanguet,Subministraments
03311700-9,Salmón,Salmó,Subministraments
03312000-9,Crustáceos,Crustacis,Subministraments
03312100-0,Ostras,Ostres,Subministraments
03312200-1,Moluscos,Mol·luscs,Subministraments
03312300-2,Invertebrados acuáticos,Invertebrats aquàtics,Subministraments
03313000-6,Productos acuáticos,Productes aquàtics,Subministraments
03313100-7,Corales o productos similares,Coralls o productes similars,Subministraments
03313200-8,Esponjas naturales,Esponges naturals,Subministraments
03313300-9,Algas marinas,Algues marines,Subministraments
03313310-2,Algas,Algues,Subministraments
03320000-8,Ganado y animales pequeños,Bestiar i animals petits,Subministraments
03321000-5,Ganado bovino,Bestiar boví,Subministraments
03321100-6,Bovinos adultos,Bovins,Subministraments
03321200-7,Terneros,Vedells,Subministraments
03322000-2,Ganado no bovino,Bestiar no boví,Subministraments
03322100-3,Ovejas,Ovelles,Subministraments
03322200-4,Cabras,Cabres,Subministraments
03322300-5,Caballos,Cavalls,Subministraments
03323000-9,Cerdos,Porcs,Subministraments
03324000-6,Aves de corral vivas,Aviram viu,Subministraments
03325000-3,Animales pequeños,Animals petits,Subministraments
03325100-4,Conejos,Conills,Subministraments
03325200-5,Liebres,Llebres,Subministraments
03330000-3,Productos de animales de granja,Productes d'animals de granja,Subministraments
03331000-0,Leche fresca de oveja y de cabra,Llet fresca d'ovella i de cabra,Subministraments
03331100-1,Leche de oveja,Llet d'ovella,Subministraments
03331200-2,Leche de cabra,Llet de cabra,Subministraments
03332000-7,Lana y pelo de animales,Llana i pèl d'animals,Subministraments
03332100-8,Lana de esquila,Llana d'esquilada,Subministraments
03332200-9,Pelo de animal,Pèl d'animal,Subministraments
03333000-4,Leche fresca de vaca,Llet fresca de vaca,Subministraments
03340000-6,Marcas auriculares para animales,Marques auriculars per a animals,Subministraments
03341000-3,Marcas auriculares para ganado bovino,Marques auriculars per a bestiar boví,Subministraments
03400000-4,Productos de la silvicultura y de la explotación forestal,Productes de la silvicultura i de l'explotació forestal,Subministraments
03410000-7,Madera,Fusta,Subministraments
03411000-4,Madera de coníferas,Fusta de coníferes,Subministraments
03412000-1,Madera de especies tropicales,Fusta tropical,Subministraments
03413000-8,Madera para calefacción,Fusta de llenya,Subministraments
03414000-5,Madera en bruto,Fusta en brut,Subministraments
03415000-2,Madera blanda,Fusta tova,Subministraments
03416000-9,Residuos de madera,Residus de fusta,Subministraments
03417000-6,Madera de desecho,Retalls de fusta,Subministraments
03417100-7,Serrín,Serradures,Subministraments
03418000-3,Troncos,Troncs,Subministraments
03418100-4,Madera dura,Fusta dura,Subministraments
03419000-0,Madera de construcción,Fusta de construcció,Subministraments
03419100-1,Productos de madera,Productes de fusta,Subministraments
03419200-2,Madera de mina,Puntal de mina,Subministraments
03420000-0,Gomas,Gomes,Subministraments
03421000-7,Bálsamos,Bàlsams,Subministraments
03422000-4,Laca,Laca,Subministraments
03430000-3,Corcho,Suro,Subministraments
03431000-0,Corcho natural,Suro natural,Subministraments
03432000-7,Artículos de cestería,Articles de cistelleria,Subministraments
03432100-8,Artículos de espartería,Articles d'esparteria,Subministraments
03440000-6,Productos de la silvicultura,Productes de silvicultura,Subministraments
03441000-3,"Plantas, hierbas, musgos o líquenes para uso ornamental","Plantes, herbes, molses o líquens d'ús ornamental",Subministraments
03450000-9,Productos de vivero,Productes de viver,Subministraments
03451000-6,Plantas,Plantes,Subministraments
03451100-7,Plantas para trasplantar,Plantes per trasplantar,Subministraments
03451200-8,Bulbos florales,Bulbs florals,Subministraments
03451300-9,Arbustos,Arbusts,Subministraments
03452000-3,Árboles,Arbres,Subministraments
03460000-2,Pasta de celulosa,Pasta de cel·lulosa,Subministraments
03461000-9,Pasta de madera,Pasta de fusta,Subministraments
03461100-0,Pasta química de madera,Pasta química de fusta,Subministraments
09000000-3,"Derivados del petróleo, combustibles, electricidad y otras fuentes de energía","Derivats del petroli, combustibles, electricitat i altres fonts d'energia",Subministraments
09100000-0,Combustibles,Combustibles,Subministraments
09110000-3,Combustibles sólidos,Combustibles sòlids,Subministraments
09111000-0,Carbón y combustibles derivados del carbón,Carbó i combustibles derivats del carbó,Subministraments
09111100-1,Carbón,Carbó,Subministraments
09111200-2,Combustibles derivados del carbón,Combustibles derivats del carbó,Subministraments
09111210-5,Antracita,Antracita,Subministraments
09111220-8,Briquetas,Briquetes,Subministraments
09111300-3,Combustibles fósiles,Combustibles fòssils,Subministraments
09111400-4,Combustibles de madera,Combustibles de fusta,Subministraments
09112000-7,Lignito y turba,Lignit i torba,Subministraments
09112100-8,Lignito,Lignit,Subministraments
09112200-9,Turba,Torba,Subministraments
09113000-4,Coque,Coc,Subministraments
09120000-6,Combustibles gaseosos,Combustibles gasosos,Subministraments
09121000-3,"Gas de hulla, gas de red o gases similares","Gas d'hulla, gas de ciutat o gasos similars",Subministraments
09121100-4,Gas de hulla o gases similares,Gas d'hulla o gasos similars,Subministraments
09121200-5,Gas de red,Gas de ciutat,Subministraments
09122000-0,Propano y butano,Propà i butà,Subministraments
09122100-1,Gas propano,Gas propà,Subministraments
09122110-4,Gas propano licuado,Gas propà liquat,Subministraments
09122200-2,Gas butano,Gas butà,Subministraments
09122210-5,Gas butano licuado,Gas butà liquat,Subministraments
09123000-7,Gas natural,Gas natural,Subministraments
09130000-9,Petróleo y destilados,Petroli i destil·lats,Subministraments
09131000-6,Queroseno de aviación,Querosè d'aviació,Subministraments
09131100-7,Combustibles tipo queroseno para reactores,Combustibles de querosè per a reactors,Subministraments
09132000-3,Gasolina,Gasolina,Subministraments
09132100-4,Gasolina sin plomo,Gasolina sense plom,Subministraments
09132200-5,Gasolina con plomo,Gasolina amb plom,Subministraments
09132300-6,Gasolina con etanol,Gasolina amb etanol,Subministraments
09133000-0,Gas licuado del petróleo (GLP),Gas liquat del petroli (GLP),Subministraments
09134000-7,Gasóleos,Gasoils,Subministraments
09134100-8,Gasoil,Gasoil,Subministraments
09134200-9,Combustible para motores diésel,Carburant dièsel,Subministraments
09134210-2,Combustible para motores diésel (0.2),"Carburant dièsel (0,2)",Subministraments
09134220-5,Combustible para motores diésel (EN 590),Carburant dièsel (EN 590),Subministraments
09134230-8,Biodiésel,Biodièsel,Subministraments
09134231-5,Biodiésel (B20),Biodièsel (B20),Subministraments
09134232-2,Biodiésel (B100),Biodièsel (B100),Subministraments
09135000-4,Aceites combustibles,Olis combustibles,Subministraments
09135100-5,Petróleo para calefacción,Petroli per a calefacció,Subministraments
09135110-8,Aceites combustibles con bajo contenido de azufre,Olis combustibles amb un baix contingut de sofre,Subministraments
09200000-1,"Productos del petróleo, del carbón y de aceites minerales","Productes del petroli, del carbó i d'olis minerals",Subministraments
09210000-4,Preparados lubricantes,Preparats lubrificants,Subministraments
09211000-1,Aceites lubricantes y agentes lubricantes,Olis lubrificants i agents lubrificants,Subministraments
09211100-2,Aceites para motores,Olis per a motors,Subministraments
09211200-3,Aceites para compresores,Olis per a compressors,Subministraments
09211300-4,Aceites para turbinas,Olis per a turbines,Subministraments
09211400-5,Aceites para engranajes,Olis per a engranatges,Subministraments
09211500-6,Aceites para reductores,Olis per a reductors,Subministraments
09211600-7,Aceites para sistemas hidráulicos y otros usos,Olis per a sistemes hidràulics i altres usos,Subministraments
09211610-0,Líquidos para uso hidráulico,Líquids per a ús hidràulic,Subministraments
09211620-3,Aceites de desmoldado,Olis de desemmotllament,Subministraments
09211630-6,Aceites anticorrosión,Olis anticorrosió,Subministraments
09211640-9,Aceites para aislamiento eléctrico,Olis per a aïllament elèctric,Subministraments
09211650-2,Líquidos de frenos,Líquids de frens,Subministraments
09211700-8,Aceites blancos y parafinas líquidas,Olis blancs i parafines líquides,Subministraments
09211710-1,Aceites blancos,Olis blancs,Subministraments
09211720-4,Parafinas líquidas,Parafines líquides,Subministraments
09211800-9,Aceites de petróleo y preparados,Olis de petroli i preparats,Subministraments
09211810-2,Aceites ligeros,Olis lleugers,Subministraments
09211820-5,Aceites de petróleo,Olis de petroli,Subministraments
09211900-0,Aceites lubricantes para motores de tracción,Olis lubrificants per a motors de tracció,Subministraments
09220000-7,"Vaselina, ceras de petróleo y gasolinas especiales","Vaselina, ceres de petroli i gasolines especials",Subministraments
09221000-4,Vaselina y ceras de petróleo,Vaselina i ceres de petroli,Subministraments
09221100-5,Vaselina,Vaselina,Subministraments
09221200-6,Parafina,Parafina,Subministraments
09221300-7,Cera de petróleo,Cera de petroli,Subministraments
09221400-8,Residuos de petróleo,Residus de petroli,Subministraments
09222000-1,Gasolinas especiales,Gasolines especials,Subministraments
09222100-2,Trementina mineral,"""White spirit""",Subministraments
09230000-0,Petróleo (crudo),Petroli (cru),Subministraments
09240000-3,Productos derivados del carbón o de aceites minerales,Productes derivats del petroli o del carbó,Subministraments
09241000-0,Esquistos bituminosos o petrolíferos,Esquistos bituminosos o petrolífers,Subministraments
09242000-7,Productos derivados del carbón,Productes derivats del carbó,Subministraments
09242100-8,Aceite de alquitrán,Oli de quitrà,Subministraments
09300000-2,"Electricidad, calefacción, energías solar y nuclear","Electricitat, calefacció, energies solar i nuclear",Subministraments
09310000-5,Electricidad,Electricitat,Subministraments
09320000-8,"Vapor, agua caliente y productos afines","Vapor, aigua calenta i productes afins",Subministraments
09321000-5,Agua caliente,Aigua calenta,Subministraments
09322000-2,Vapor,Vapor,Subministraments
09323000-9,Calefacción urbana,Calefacció urbana,Subministraments
09324000-6,Calefacción a larga distancia,Calefacció a llarga distància,Subministraments
09330000-1,Energía solar,Energia solar,Subministraments
09331000-8,Placas solares,Plaques solars,Subministraments
09331100-9,Captadores solares para la producción de calor,Captadors solars per a la producció de calor,Subministraments
09331200-0,Módulos solares fotovoltaicos,Mòduls solars fotovoltaics,Subministraments
09332000-5,Instalación solar,Instal·lació solar,Subministraments
09340000-4,Combustibles nucleares,Combustibles nuclears,Subministraments
09341000-1,Uranio,Urani,Subministraments
09342000-8,Plutonio,Plutoni,Subministraments
09343000-5,Materiales radiactivos,Materials radioactius,Subministraments
09344000-2,Radioisótopos,Radioisòtops,Subministraments
14000000-1,"Productos de la minería, de metales de base y productos afines","Productes de mineria, metalls de base i productes afins",Subministraments
14200000-3,Arena y arcilla,Sorra i argila,Subministraments
14210000-6,"Grava, arena, piedras machacadas y agregados","Grava, sorra, pedra trossejada i agregats",Subministraments
14211000-3,Arena,Sorra,Subministraments
14211100-4,Arena natural,Sorra natural,Subministraments
14212000-0,"Gránulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena-grava y demás agregados","Grànuls, graveta, pols de pedra, còdols, grava, pedra trossejada, barreges de pedra, barreges de sorra-grava i altres agregats",Subministraments
14212100-1,Guijarros y grava,Còdols i grava,Subministraments
14212110-4,Grava,Grava,Subministraments
14212120-7,Guijarros,Còdols,Subministraments
14212200-2,Agregados,Agregats,Subministraments
14212210-5,Mezcla arena-grava,Barreja de sorra-grava,Subministraments
14212300-3,Piedra partida y machacada,Pedra trossejada,Subministraments
14212310-6,Balasto,Balast,Subministraments
14212320-9,Granito machacado,Granit trossejat,Subministraments
14212330-2,Basalto machacado,Basalt trossejat,Subministraments
14212400-4,Suelo,Sòl,Subministraments
14212410-7,Tierra vegetal,Terra vegetal,Subministraments
14212420-0,Subsuelo,Subsòl,Subministraments
14212430-3,Gravilla,Graveta,Subministraments
14213000-7,"Macadán, macadán bituminoso y arenas bituminosas","Macadam, macadam bituminós i sorres bituminoses",Subministraments
14213100-8,Macadán,Macadam,Subministraments
14213200-9,Macadán bituminoso,Macadam bituminós,Subministraments
14213300-0,Arenas bituminosas,Sorres bituminoses,Subministraments
14220000-9,Arcilla y caolín,Argila i caolí,Subministraments
14221000-6,Arcilla,Argila,Subministraments
14222000-3,Caolín,Caolí,Subministraments
14300000-4,Minerales químicos y abonos minerales,Minerals químics i adobs minerals,Subministraments
14310000-7,Abonos minerales,Adobs minerals,Subministraments
14311000-4,"Calcio natural, fosfato aluminocálcico y sales de potasio natural en bruto","Calci natural, fosfat aluminocàlcic i sals de potassi natural en brut",Subministraments
14311100-5,Calcio natural,Calci natural,Subministraments
14311200-6,Fosfatos aluminocálcicos,Fosfats aluminocàlcics,Subministraments
14311300-7,Sales de potasio natural en bruto,Sals de potassi natural en brut,Subministraments
14312000-1,Piritas de hierro,Pirites de ferro,Subministraments
14312100-2,Piritas de hierro sin tostar,Pirites de ferro sense torrar,Subministraments
14320000-0,Minerales químicos,Minerals químics,Subministraments
14400000-5,Sal y cloruro de sodio puro,Sal i clorur de sodi pur,Subministraments
14410000-8,Sal gema,Sal gemma,Subministraments
14420000-1,Sal marina,Sal marina,Subministraments
14430000-4,Sal evaporada y cloruro de sodio puro,Sal evaporada i clorur de sodi pur,Subministraments
14450000-0,Salmuera,Salmorra,Subministraments
14500000-6,Productos relacionados con la explotación de minas y canteras,Productes relacionats amb l'explotació de mines i de pedreres,Subministraments
14520000-2,Piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales y metales preciosos,"Pedres precioses i semiprecioses, pedra tosca, esmeril, abrasius naturals, altres minerals i metalls preciosos",Subministraments
14521000-9,Piedras preciosas y semipreciosas,Pedres precioses i semiprecioses,Subministraments
14521100-0,Piedras preciosas,Pedres precioses,Subministraments
14521140-2,Polvillo o polvo de piedras preciosas,Polsim o pols de pedres precioses,Subministraments
14521200-1,Piedras semipreciosas,Pedres semiprecioses,Subministraments
14521210-4,Polvillo o polvo de piedras semipreciosas,Polsim o pols de pedres semiprecioses,Subministraments
14522000-6,Diamantes industriales; piedra pómez; esmeril y otros abrasivos naturales,"Diamants industrials, pedra tosca, esmeril i altres abrasius naturals",Subministraments
14522100-7,Piedra pómez,Pedra tosca,Subministraments
14522200-8,Diamantes industriales,Diamants industrials,Subministraments
14522300-9,Esmeril,Esmeril,Subministraments
14522400-0,Abrasivos naturales,Abrasius naturals,Subministraments
14523000-3,"Minerales conexos, metales preciosos y productos afines","Minerals connexos, metalls preciosos i productes afins",Subministraments
14523100-4,Minerales,Minerals,Subministraments
14523200-5,Oro,Or,Subministraments
14523300-6,Plata,Plata,Subministraments
14523400-7,Platino,Platí,Subministraments
14600000-7,Minerales metálicos y aleaciones,Minerals metàl·lics i aliatges,Subministraments
14610000-0,Minerales metálicos,Minerals metàl·lics,Subministraments
14611000-7,Minerales de hierro,Minerals de ferro,Subministraments
14612000-4,Minerales metálicos no ferrosos,Minerals metàl·lics no fèrrics,Subministraments
14612100-5,Minerales de cobre,Minerals de coure,Subministraments
14612200-6,Minerales de níquel,Minerals de níquel,Subministraments
14612300-7,Minerales de aluminio,Minerals d'alumini,Subministraments
14612400-8,Minerales de metales preciosos,Minerals de metalls preciosos,Subministraments
14612500-9,Minerales de plomo,Minerals de plom,Subministraments
14612600-0,Minerales de zinc,Minerals de zinc,Subministraments
14612700-1,Minerales de estaño,Minerals d'estany,Subministraments
14613000-1,Minerales de uranio y torio,Minerals d'urani i tori,Subministraments
14613100-2,Minerales de uranio,Minerals d'urani,Subministraments
14613200-3,Minerales de torio,Minerals de tori,Subministraments
14614000-8,Minerales diversos,Minerals diversos,Subministraments
14620000-3,Aleaciones,Aliatges,Subministraments
14621000-0,Ferroaleaciones,Ferroaliatges,Subministraments
14621100-1,Ferroaleaciones distintas de las de la CECA,Ferroaliatges a excepció dels de la CECA,Subministraments
14621110-4,Ferromanganeso,Ferromanganès,Subministraments
14621120-7,Ferrocromo,Ferrocrom,Subministraments
14621130-0,Ferroníquel,Ferroníquel,Subministraments
14622000-7,Acero,Acer,Subministraments
14630000-6,"Escoria y batiduras, desperdicios y desechos ferrosos","Escòria, batudes, deixalles i residus ferrosos",Subministraments
14700000-8,Metales comunes,Metalls bàsics,Subministraments
14710000-1,"Hierro, plomo, zinc, estaño y cobre","Ferro, plom, zinc, estany i coure",Subministraments
14711000-8,Hierro,Ferro,Subministraments
14711100-9,Fundición en bruto,Lingot d'alt forn,Subministraments
14712000-5,Plomo,Plom,Subministraments
14713000-2,Zinc,Zinc,Subministraments
14714000-9,Estaño,Estany,Subministraments
14715000-6,Cobre,Coure,Subministraments
14720000-4,"Aluminio, níquel, escandio, titanio y vanadio","Alumini, níquel, escandi, titani i vanadi",Subministraments
14721000-1,Aluminio,Alumini,Subministraments
14721100-2,Óxido de aluminio,Òxid d'alumini,Subministraments
14722000-8,Níquel,Níquel,Subministraments
14723000-5,Escandio,Escandi,Subministraments
14724000-2,Titanio,Titani,Subministraments
14725000-9,Vanadio,Vanadi,Subministraments
14730000-7,"Cromo, manganeso, cobalto, itrio y circonio","Crom, manganès, cobalt, itri i zirconi",Subministraments
14731000-4,Cromo,Crom,Subministraments
14732000-1,Manganeso,Manganès,Subministraments
14733000-8,Cobalto,Cobalt,Subministraments
14734000-5,Itrio,Itri,Subministraments
14735000-2,Circonio,Zirconi,Subministraments
14740000-0,"Molibdeno, tecnecio, rutenio y rodio","Molibdè, tecneci, ruteni i rodi",Subministraments
14741000-7,Molibdeno,Molibdè,Subministraments
14742000-4,Tecnecio,Tecneci,Subministraments
14743000-1,Rutenio,Ruteni,Subministraments
14744000-8,Rodio,Rodi,Subministraments
14750000-3,"Cadmio, lutecio, hafnio, tantalio y wolframio","Cadmi, luteci, hafni, tàntal i tungstè",Subministraments
14751000-0,Cadmio,Cadmi,Subministraments
14752000-7,Lutecio,Luteci,Subministraments
14753000-4,Hafnio,Hafni,Subministraments
14754000-1,Tantalio,Tàntal,Subministraments
14755000-8,Wolframio,Tungstè,Subministraments
14760000-6,"Iridio, galio, indio, talio y bario","Iridi, gal·li, indi, tal·li i bari",Subministraments
14761000-3,Iridio,Iridi,Subministraments
14762000-0,Galio,Gal·li,Subministraments
14763000-7,Indio,Indi,Subministraments
14764000-4,Talio,Tal·li,Subministraments
14765000-1,Bario,Bari,Subministraments
